131 23 14   32 35.62   117 22.27
131 23 15   32 35.70   117 22.28 
131 23 16   32 35.77   117 22.25 
131 23 17   32 35.85   117 22.24 
131 23 18   32 35.92   117 22.20
131 23 19   32 36.00   117 22.18 
131 23 20   32 36.08   117 22.15 
131 23 21   32 36.16   117 22.12 
131 23 22   32 36.23   117 22.10 
131 23 23   32 36.31   117 22.07 
131 23 24   32 36.39   117 22.05 
131 23 25   32 36.47   117 22.03 
131 23 26   32 36.55   117 22.01 
131 23 28   32 36.72   117 21.98 
131 23 29   32 36.80   117 21.96 
131 23 30   32 36.88   117 21.94 
131 23 31   32 36.97   117 21.92 
131 23 32   32 37.05   117 21.89 
131 23 33   32 37.13   117 21.86 
131 23 34   32 37.21   117 21.83 
131 23 35   32 37.28   117 21.80 
131 23 36   32 37.36   117 21.77 
131 23 37   32 37.44   117 21.73 
131 23 38   32 37.51   117 21.71 
131 23 39   32 37.59   117 21.69 
131 23 40   32 37.67   117 21.68 
131 23 41   32 37.75   117 21.66 
131 23 42   32 37.81   117 21.65 
131 23 43   32 37.89   117 21.64 
131 23 44   32 37.96   117 21.63 
131 23 45   32 38.04   117 21.62 
131 23 46   32 38.12   117 21.61 
131 23 47   32 38.19   117 21.59 
131 23 48   32 38.27   117 21.58 
131 23 49   32 38.35   117 21.57 
131 23 50   32 38.43   117 21.55 
131 23 51   32 38.50   117 21.53 
131 23 52   32 38.58   117 21.50 
131 23 53   32 38.65   117 21.48 
131 23 54   32 38.73   117 21.44 
131 23 55   32 38.80   117 21.41 
131 23 56   32 38.88   117 21.38 
131 23 57   32 38.95   117 21.35 
131 23 58   32 39.03   117 21.32 
131 23 59   32 39.10   117 21.30 
132 00 00   32 39.18   117 21.27 
132 00 01   32 39.26   117 21.25 
132 00 02   32 39.34   117 21.23 
132 00 03   32 39.41   117 21.21 
132 00 04   32 39.49   117 21.19 
132 00 05   32 39.57   117 21.18 
132 00 06   32 39.64   117 21.16 
132 00 07   32 39.72   117 21.14 
132 00 08   32 39.80   117 21.12 
132 00 09   32 39.87   117 21.11 
132 00 10   32 39.95   117 21.09 
132 00 11   32 40.02   117 21.08 
132 00 12   32 40.10   117 21.06 
132 00 13   32 40.17   117 21.05 
132 00 14   32 40.25   117 21.04 
132 00 15   32 40.32   117 21.01 
132 00 16   32 40.40   117 20.99 
132 00 17   32 40.48   117 20.97 
132 00 18   32 40.54   117 20.95 
132 00 19   32 40.62   117 20.92 
132 00 20   32 40.69   117 20.89 
132 00 21   32 40.77   117 20.86 
132 00 22   32 40.85   117 20.83 
132 00 23   32 40.92   117 20.80 
132 00 24   32 41.00   117 20.78 
132 00 25   32 41.08   117 20.75 
132 00 26   32 41.16   117 20.73 
132 00 27   32 41.24   117 20.70 
132 00 28   32 41.32   117 20.68 
132 00 29   32 41.40   117 20.65 
132 00 30   32 41.48   117 20.62
132 00 31   32 41.56   117 20.60 
