 Jday Time  Duration Range(km)
  131 23:15    0      6.763
  131 23:16    1      6.618
  131 23:17    2      6.484
  131 23:18    3      6.335
  131 23:19    4      6.198
  131 23:20    5      6.047
  131 23:21    6      5.895
  131 23:22    7      5.742
  131 23:23    8      5.610
  131 23:24    9      5.457
  131 23:25   10      5.307
  131 23:26   11      5.156
  131 23:27   12      5.006
  131 23:29   14      4.688
  131 23:30   15      4.537
  131 23:31   16      4.387
  131 23:32   17      4.218
  131 23:33   18      4.067
  131 23:34   19      3.916
  131 23:35   20      3.766
  131 23:36   21      3.635
  131 23:37   22      3.485
  131 23:38   23      3.336
  131 23:39   24      3.206
  131 23:40   25      3.058
  131 23:41   26      2.910
  131 23:42   27      2.763
  131 23:43   28      2.652
  131 23:44   29      2.505
  131 23:45   30      2.376
  131 23:46   31      2.229
  131 23:47   32      2.083
  131 23:48   33      1.956
  131 23:49   34      1.811
  131 23:50   35      1.666
  131 23:51   36      1.524
  131 23:52   37      1.403
  131 23:53   38      1.270
  131 23:54   39      1.156
  131 23:55   40      1.041
  131 23:56   41      0.948
  131 23:57   42      0.852
  131 23:58   43      0.789
  131 23:59   44      0.736
  132 00:00   45      0.705
  132 00:01   46      0.711
  132 00:02   47      0.734
  132 00:03   48      0.787
  132 00:04   49      0.856
  132 00:05   50      0.948
  132 00:06   51      1.041
  132 00:07   52      1.146
  132 00:08   53      1.269
  132 00:09   54      1.398
  132 00:10   55      1.506
  132 00:11   56      1.642
  132 00:12   57      1.757
  132 00:13   58      1.898
  132 00:14   59      2.016
  132 00:15   60      2.152
  132 00:16   61      2.288
  132 00:17   62      2.433
  132 00:18   63      2.579
  132 00:19   64      2.692
  132 00:20   65      2.846
  132 00:21   66      2.983
  132 00:22   67      3.137
  132 00:23   68      3.291
  132 00:24   69      3.428
  132 00:25   70      3.576
  132 00:26   71      3.731
  132 00:27   72      3.879
  132 00:28   73      4.034
  132 00:29   74      4.182
  132 00:30   75      4.337
  132 00:31   76      4.492
  132 00:32   77      4.641
