 Jday Time  Duration Range(km)
  134 11:46    0      1.926
  134 11:47    1      2.056
  134 11:48    2      2.184
  134 11:49    3      2.292
  134 11:50    4      2.412
  134 11:51    5      2.550
  134 11:52    6      2.669
  134 11:53    7      2.810
  134 11:54    8      2.930
  134 11:56   10      3.195
  134 11:57   11      3.336
  134 11:58   12      3.458
  134 11:59   13      3.585
  134 12:00   14      3.712
  134 12:01   15      3.861
  134 12:02   16      3.992
  134 12:03   17      4.143
  134 12:04   18      4.273
  134 12:05   19      4.387
  134 12:06   20      4.522
  134 12:07   21      4.657
  134 12:08   22      4.792
  134 12:09   23      4.947
  134 12:10   24      5.083
  134 12:11   25      5.218
  134 12:12   26      5.374
  134 12:13   27      5.510
  134 12:14   28      5.646
  134 12:15   29      5.797
  134 12:16   30      5.952
  134 12:17   31      6.085
  134 12:18   32      6.233
  134 12:19   33      6.385
  134 12:20   34      6.515
  134 12:21   35      6.667
  134 12:22   36      6.815
  134 12:23   37      6.949
  134 12:24   38      7.100
  134 12:25   39      7.252
  134 12:26   40      7.377
  134 12:27   41      7.494
  134 12:28   42      7.587
  134 12:29   43      7.645
  134 12:30   44      7.722
  134 12:31   45      7.824
  134 12:32   46      7.947
  134 12:33   47      8.075
  134 12:34   48      8.223
  134 12:35   49      8.355
  134 12:36   50      8.474
  134 12:37   51      8.578
  134 12:38   52      8.650
  134 12:39   53      8.671
  134 12:40   54      8.656
  134 12:41   55      8.585
  134 12:42   56      8.487
  134 12:43   57      8.326
  134 12:44   58      8.172
  134 12:45   59      8.017
  134 12:46   60      7.860
  134 12:47   61      7.688
  134 12:48   62      7.536
  134 12:49   63      7.364
  134 12:50   64      7.210
  134 12:51   65      7.037
  134 12:52   66      6.883
