 Jday Time  Duration Range(km)
  134 11:46    0      3.146
  134 11:47    1      3.000
  134 11:48    2      2.850
  134 11:49    3      2.712
  134 11:50    4      2.585
  134 11:51    5      2.440
  134 11:52    6      2.308
  134 11:53    7      2.164
  134 11:54    8      2.032
  134 11:56   10      1.759
  134 11:57   11      1.612
  134 11:58   12      1.475
  134 11:59   13      1.352
  134 12:00   14      1.232
  134 12:01   15      1.116
  134 12:02   16      1.022
  134 12:03   17      0.937
  134 12:04   18      0.867
  134 12:05   19      0.835
  134 12:06   20      0.826
  134 12:07   21      0.841
  134 12:08   22      0.877
  134 12:09   23      0.950
  134 12:10   24      1.023
  134 12:11   25      1.109
  134 12:12   26      1.226
  134 12:13   27      1.330
  134 12:14   28      1.439
  134 12:15   29      1.552
  134 12:16   30      1.683
  134 12:17   31      1.794
  134 12:18   32      1.910
  134 12:19   33      2.040
  134 12:20   34      2.149
  134 12:21   35      2.285
  134 12:22   36      2.413
  134 12:23   37      2.537
  134 12:24   38      2.678
  134 12:25   39      2.819
  134 12:26   40      2.922
  134 12:27   41      3.005
  134 12:28   42      3.054
  134 12:29   43      3.077
  134 12:30   44      3.117
  134 12:31   45      3.197
  134 12:32   46      3.302
  134 12:33   47      3.422
  134 12:34   48      3.565
  134 12:35   49      3.698
  134 12:36   50      3.830
  134 12:37   51      3.950
  134 12:38   52      4.046
  134 12:39   53      4.099
  134 12:40   54      4.117
  134 12:41   55      4.082
  134 12:42   56      4.009
  134 12:43   57      3.868
  134 12:44   58      3.715
  134 12:45   59      3.562
  134 12:46   60      3.402
  134 12:47   61      3.234
  134 12:48   62      3.089
  134 12:49   63      2.922
  134 12:50   64      2.772
  134 12:51   65      2.606
  134 12:52   66      2.456
