 Jday Time  Duration Range(km)
  134 11:46    0      3.242
  134 11:47    1      3.097
  134 11:48    2      2.948
  134 11:49    3      2.810
  134 11:50    4      2.683
  134 11:51    5      2.540
  134 11:52    6      2.409
  134 11:53    7      2.267
  134 11:54    8      2.136
  134 11:56   10      1.866
  134 11:57   11      1.720
  134 11:58   12      1.584
  134 11:59   13      1.464
  134 12:00   14      1.347
  134 12:01   15      1.236
  134 12:02   16      1.147
  134 12:03   17      1.067
  134 12:04   18      1.001
  134 12:05   19      0.970
  134 12:06   20      0.961
  134 12:07   21      0.971
  134 12:08   22      1.000
  134 12:09   23      1.064
  134 12:10   24      1.128
  134 12:11   25      1.205
  134 12:12   26      1.313
  134 12:13   27      1.409
  134 12:14   28      1.511
  134 12:15   29      1.616
  134 12:16   30      1.740
  134 12:17   31      1.845
  134 12:18   32      1.955
  134 12:19   33      2.080
  134 12:20   34      2.184
  134 12:21   35      2.316
  134 12:22   36      2.440
  134 12:23   37      2.561
  134 12:24   38      2.698
  134 12:25   39      2.837
  134 12:26   40      2.936
  134 12:27   41      3.013
  134 12:28   42      3.056
  134 12:29   43      3.073
  134 12:30   44      3.107
  134 12:31   45      3.181
  134 12:32   46      3.282
  134 12:33   47      3.400
  134 12:34   48      3.542
  134 12:35   49      3.675
  134 12:36   50      3.809
  134 12:37   51      3.931
  134 12:38   52      4.031
  134 12:39   53      4.089
  134 12:40   54      4.111
  134 12:41   55      4.082
  134 12:42   56      4.012
  134 12:43   57      3.874
  134 12:44   58      3.722
  134 12:45   59      3.571
  134 12:46   60      3.411
  134 12:47   61      3.245
  134 12:48   62      3.103
  134 12:49   63      2.938
  134 12:50   64      2.789
  134 12:51   65      2.626
  134 12:52   66      2.479
